"","airport1","airport2","airline","cnt"
"1","AUS","IAH","UA",418.333333333333
"2","BSM","IAH","UA",418.333333333333
"3","EWR","SFO","UA",398.666666666667
"4","SFO","EWR","UA",398.333333333333
"5","ORD","LGA","UA",359.333333333333
"6","LGA","ORD","UA",359.25
"7","ORD","SFO","UA",334.666666666667
"8","SFO","ORD","UA",333.583333333333
"9","EWR","LAX","UA",329.166666666667
"10","LAX","EWR","UA",329.166666666667
"11","SFO","LAX","UA",327.416666666667
"12","LAX","SFO","UA",327.25
"13","DEN","IAH","UA",312.25
"14","IAH","DEN","UA",312.25
"15","HIK","SFO","UA",297.833333333333
"16","HNL","SFO","UA",297.833333333333
"17","ORD","DEN","UA",296.666666666667
"18","DEN","ORD","UA",295.583333333333
"19","EWR","ORD","UA",293.5
"20","ORD","EWR","UA",292
"21","BOS","EWR","UA",289.916666666667
"22","EWR","MCO","UA",289.583333333333
"23","EWR","BOS","UA",289.333333333333
"24","MCO","EWR","UA",289.333333333333
"25","SFO","DEN","UA",287.833333333333
"26","ORD","LAX","UA",285.75
"27","LAX","ORD","UA",285.416666666667
"28","DEN","SFO","UA",284.833333333333
"29","SFO","IAH","UA",274.916666666667
"30","ORD","IAH","UA",274.25
"31","IAH","SFO","UA",273.916666666667
"32","EWR","IAH","UA",273.583333333333
"33","IAH","ORD","UA",273.333333333333
"34","IAH","EWR","UA",272.666666666667
"35","LAX","IAH","UA",268.833333333333
"36","IAH","LAX","UA",268.75
"37","LAS","SFO","UA",255.916666666667
"38","SFO","LAS","UA",255.666666666667
"39","HIK","LAX","UA",251.333333333333
"40","HNL","LAX","UA",251.333333333333
"41","DCA","ORD","UA",244.333333333333
"42","SEA","SFO","UA",238.666666666667
"43","SFO","SEA","UA",238
"44","EWR","DEN","UA",235
"45","DEN","EWR","UA",234.833333333333
"46","BOS","ORD","UA",233.666666666667
"47","ORD","BOS","UA",232.916666666667
"48","AUS","ORD","UA",226
"49","BSM","ORD","UA",226
"50","SAN","SFO","UA",226
"51","SFO","SAN","UA",225.916666666667
"52","IAH","MSY","UA",221.583333333333
"53","MSY","IAH","UA",221.5
"54","IAD","SFO","UA",217.166666666667
"55","SFO","IAD","UA",216.5
"56","ORD","DCA","UA",214.666666666667
"57","DEN","LAX","UA",212.583333333333
"58","AUS","DEN","UA",212.166666666667
"59","BSM","DEN","UA",212.166666666667
"60","LAX","DEN","UA",212.166666666667
"61","PDX","SFO","UA",208.666666666667
"62","SFO","PDX","UA",208.416666666667
"63","IAH","AUS","UA",206.166666666667
"64","IAH","BSM","UA",206.166666666667
"65","EWR","FLL","UA",205.416666666667
"66","FLL","EWR","UA",205.416666666667
"67","AUS","EWR","UA",202.666666666667
"68","BSM","EWR","UA",202.666666666667
"69","IAD","LAX","UA",199.333333333333
"70","LAX","IAD","UA",199.166666666667
"71","DEN","IAD","UA",199
"72","MCO","IAH","UA",198.5
"73","IAH","MCO","UA",198.083333333333
"74","IAD","DEN","UA",196.416666666667
"75","SAT","IAH","UA",195.583333333333
"76","IAH","SAT","UA",195.25
"77","DEN","LGA","UA",194.5
"78","LGA","DEN","UA",194.5
"79","EWR","LAS","UA",189
"80","LAS","EWR","UA",188.25
"81","LGA","IAH","UA",187.166666666667
"82","IAH","LGA","UA",187
"83","AUS","SFO","UA",182.833333333333
"84","BSM","SFO","UA",182.833333333333
"85","IAH","LAS","UA",181.083333333333
"86","LAS","IAH","UA",181.083333333333
"87","MCO","ORD","UA",180.333333333333
"88","ORD","MCO","UA",180.166666666667
"89","CLE","ORD","UA",177.166666666667
"90","BOS","SFO","UA",177.083333333333
"91","ORD","CLE","UA",177
"92","EWR","PBI","UA",176.916666666667
"93","PBI","EWR","UA",176.833333333333
"94","SFO","BOS","UA",176.75
"95","TPA","EWR","UA",174.916666666667
"96","EWR","TPA","UA",174.75
